Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
102	1000.0	0.0	1000.0	1000.0	1000.0	99.99765	0.028855152	100.229256	99.82884	515000	-4.7266484e-09	0.00084599695	0.011876366	-0.00017798838	-0.32549688	0.019175129	0.3094	1.0	232.46165299415588
103	1000.0	0.0	1000.0	1000.0	1000.0	99.99601	0.02652367	100.18644	99.81077	520000	-1.2338162e-08	0.00072462275	-0.004570929	-6.3325686e-05	-0.32585138	0.0019644855	0.0166	79.0	234.63711190223694
104	1000.0	0.0	1000.0	1000.0	1000.0	100.00063	0.024515696	100.13795	99.79878	525000	-4.673004e-09	0.0006080923	-0.0028251186	-2.4642854e-05	-0.33208844	0.005170115	0.0352	79.0	236.76447010040283
105	1000.0	0.0	1000.0	1000.0	1000.0	100.002365	0.025685506	100.15735	99.78753	530000	-5.316734e-09	0.00071671885	-0.0062150294	-3.420358e-05	-0.33836332	0.0022793624	0.0638	79.0	238.84834456443787
106	1000.0	0.0	1000.0	1000.0	1000.0	100.00486	0.02208815	100.17168	99.7915	535000	7.982552e-09	0.00052933313	-0.004115128	-4.9781112e-05	-0.3578299	0.0030766833	0.0252	79.0	240.89777517318726
107	1000.0	0.0	1000.0	1000.0	1000.0	99.999825	0.022898406	100.16235	99.81332	540000	1.3923645e-08	0.0005358817	-0.003372441	-2.0055973e-05	-0.37125856	0.0016937841	0.022	79.0	242.9761826992035
108	1000.0	0.0	1000.0	1000.0	1000.0	100.000984	0.022880312	100.20928	99.72923	545000	2.2694469e-09	0.0005341311	-0.0060496554	-3.4791185e-05	-0.37835678	0.0031619421	0.0452	79.0	245.12431025505066
109	1000.0	0.0	1000.0	1000.0	1000.0	99.99926	0.021126144	100.1337	99.84301	550000	1.193285e-08	0.0004916203	-0.0040012593	-3.149215e-05	-0.3823281	0.0037457673	0.018	79.0	247.45968294143677
110	1000.0	0.0	1000.0	1000.0	1000.0	100.00256	0.020174567	100.12927	99.8363	555000	-1.0371208e-08	0.00045032997	-0.0035467192	-3.0767435e-05	-0.3933608	0.0028714158	0.0228	79.0	249.64737939834595
111	1000.0	0.0	1000.0	1000.0	1000.0	99.99998	0.020700123	100.12554	99.800446	560000	-1.0967255e-09	0.0004539751	-0.003374987	-1.8071703e-05	-0.38547066	0.0026617562	0.0204	79.0	252.033207654953
